what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1395783150623
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1395783151115
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1395783153785
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1395783156777
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1395783158577
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1395783231397
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783235596
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783236722
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783237076
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783238069
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783238451
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783256183
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783256525
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783257297
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783258598
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783261974
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1395783267127
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1395783271624
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1395783280013
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1395783287427
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1395783299381
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1395783318592
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1395783323998
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1395783324244
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1395783326836
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1395783334000
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783342624
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783345353
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783345777
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1395783345999
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783351115
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783351801
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783371828
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1395783392026
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783392722
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783439886
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783440540
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783446629
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783446908
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783486576
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1395783487003
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1395783487833
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1395783488203
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1395783489494
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783491853
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783502395
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783528648
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783537699
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1395783538234
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783540758
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783542513
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1395783542519
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1395783543695
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783549706
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783552691
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1395783552698
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1395783561023
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1395783568176
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1395783568879
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1395783570341
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1395783572380
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1395783573064
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1395783577892
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1395783580400
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1395783585785
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1395783588321
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1395783589507
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1395783595008
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1395783602154
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783607659
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783609580
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1395783610098
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783611314
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783639710
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783644371
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783645109
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783646243
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1395783934888
